platform,country_code,region,language,category,hashtag,title_keywords,author_handle,sound_type,music_track,week_of_year,duration_sec,views,likes,comments,shares,saves,device_type,upload_hour,genre,trend_duration_days,trend_type,engagement_velocity,dislikes,comment_ratio,share_rate,save_rate,like_dislike_ratio,publish_dayofweek,publish_period,event_season,tags,creator_avg_views,creator_tier,season,publish_date_approx,year_month,title,title_length,has_emoji,avg_watch_time_sec,completion_rate,device_brand,traffic_source,is_weekend,engagement_total,like_rate,dislike_rate,engagement_per_1k,country_name,publish_month,publish_month_name,publish_day,publish_year
Tiktok,CO,South America,es,Lifestyle,#Recipe,5-Minute Ramen,AliTV,licensed,Sunset pad,1,14,46556,4503,656,515,298,Android,17,Food,12,Medium,3879.67,43,0.014091,0.011062,0.006401,102.340909,Wednesday,Evening,BackToSchool,"street food, recipe, food",131154.2,Mid,Fall,2025-01-01,2025-01,I tried making Tacos ✨,22,1,11.9,0.85,Samsung,ForYou,0,5972,0.096722,0.000924,128.276,Colombia,1,January,1,2025
Tiktok,MX,North America,es,News,#Foodie,5-Minute Koshari,BeautyByNoah,original,Neutral piano,1,23,152175,13424,1209,987,1098,Android,23,Food,7,Short,21739.29,209,0.007945,0.006486,0.007215,63.92381,Thursday,Night,Regular,"fast, street food, food, kitchen, recipe",97568.1,Mid,Winter,2025-01-02,2025-01,5-Minute Ramen ⚽,16,1,17.0,0.739,iPhone,Search,0,16718,0.088214,0.001373,109.86,Mexico,1,January,2,2025
Tiktok,CN,Asia,zh,Pets,#Travel,Street Food Tour in Dubai,LinaYT,original,Cute whistle,1,30,22700,1636,264,141,172,Android,23,Travel,5,Short,4540.0,9,0.01163,0.006211,0.007577,163.6,Friday,Night,Regular,"food tour, travel, guide, hidden gems",86157.4,Mid,Fall,2025-01-03,2025-01,Street Food Tour — Istanbul 🍔,29,1,15.8,0.527,iPhone,ForYou,1,2213,0.07207,0.000396,97.489,China,1,January,3,2025
Tiktok,EG,Africa,ar,Fitness,#Travel,24 Hours in Seoul,AhmedVlogs,original,Cardio loop,1,21,26824,1329,139,109,235,Android,13,Travel,29,Evergreen,924.97,50,0.005182,0.004064,0.008761,26.058824,Friday,Afternoon,HolidaySeason,"guide, food tour, travel",84206.0,Mid,Winter,2025-01-03,2025-01,24 Hours in Dubai 😂,19,1,11.9,0.567,Samsung,External,1,1812,0.049545,0.001864,67.551,Egypt,1,January,3,2025
Tiktok,ID,Asia,id,Comedy,#FYP,Is Sushi worth the hype?,TechieAli,trending,Quirky jingle,1,14,32372,1959,277,227,129,iOS,0,Food,8,Medium,4046.5,66,0.008557,0.007012,0.003985,29.238806,Friday,Night,Regular,"street food, recipe, food, fast",128635.5,Mid,Spring,2025-01-03,2025-01,5-Minute Tacos 📱,16,1,8.9,0.636,iPhone,ForYou,1,2592,0.060515,0.002039,80.069,Indonesia,1,January,3,2025
Tiktok,PH,Asia,tl,Science,#Travel,Hidden Gems of London,NextStudio,licensed,Microscope hum,1,21,38833,2141,167,246,134,iOS,21,Travel,20,Medium,1941.65,67,0.0043,0.006335,0.003451,31.485294,Friday,Evening,Regular,"vlog, hidden gems, travel, guide, food tour",99200.2,Mid,Spring,2025-01-03,2025-01,Street Food Tour — New York,27,0,12.5,0.595,Xiaomi,External,1,2688,0.055134,0.001725,69.219,Philippines,1,January,3,2025
Tiktok,MX,North America,es,Fashion,#Travel,24 Hours in London,GamingWithAmr,trending,Runway loop,1,30,116006,8492,720,670,1300,Android,14,Travel,35,Evergreen,3314.46,330,0.006207,0.005776,0.011206,25.655589,Wednesday,Afternoon,Regular,"food tour, travel, vlog",62987.8,Mid,Winter,2025-01-01,2025-01,24 Hours in Dubai ✨,19,1,23.5,0.783,Samsung,ForYou,0,11182,0.073203,0.002845,96.392,Mexico,1,January,1,2025
Tiktok,NL,Europe,nl,DIY,#StreetFood,5-Minute Kunafa,MusicByYoussef,trending,Woodshop groove,1,37,60413,4687,322,298,561,Android,20,Food,5,Short,12082.6,102,0.00533,0.004933,0.009286,45.504854,Friday,Evening,BackToSchool,"food, kitchen, fast, recipe",127261.5,Mid,Fall,2025-01-03,2025-01,I tried making Kunafa 📱,23,1,27.4,0.741,Huawei,Search,1,5868,0.077583,0.001688,97.131,Netherlands,1,January,3,2025
Tiktok,EG,Africa,ar,Fitness,#Travel,Hidden Gems of Seoul,YoussefOfficial,trending,HIIT drums,1,41,193472,13454,987,1301,3338,Android,14,Travel,3,Short,64490.67,657,0.005102,0.006724,0.017253,20.446809,Thursday,Afternoon,HolidaySeason,"travel, food tour, guide, hidden gems",102347.6,Mid,Winter,2025-01-02,2025-01,Hidden Gems of Tokyo,20,0,21.5,0.524,Samsung,ForYou,0,19080,0.06954,0.003396,98.619,Egypt,1,January,2,2025
Youtube,KE,Africa,sw,Lifestyle,#FYP,24 Hours in Seoul,TravelByAhmed,original,Chill guitar,1,28,12978,642,57,50,90,Android,19,Travel,56,Evergreen,231.75,88,0.004392,0.003853,0.006935,7.213483,Thursday,Evening,Regular,"hidden gems, vlog, food tour",94231.9,Mid,Winter,2025-01-02,2025-01,Street Food Tour — Cairo 🏖️,27,1,11.2,0.4,Samsung,Search,0,839,0.049468,0.006781,64.648,Kenya,1,January,2,2025
Youtube,FR,Europe,fr,Tech,#Wanderlust,24 Hours in London,EmilyPro,original,Circuit synth,1,42,162440,4796,590,339,301,Android,19,Travel,7,Short,23205.71,300,0.003632,0.002087,0.001853,15.933555,Friday,Evening,Regular,"travel, hidden gems, vlog, food tour, guide",93745.1,Mid,Spring,2025-01-03,2025-01,24 Hours in Seoul,17,0,24.6,0.586,Huawei,External,1,6026,0.029525,0.001847,37.097,France,1,January,3,2025
Youtube,NG,Africa,en,Sports,#Recipe,Is Croissant worth the hype?,DanceWithAli,original,Adrenaline synth,1,34,57332,1451,233,190,133,Web,14,Food,5,Short,11466.4,202,0.004064,0.003314,0.00232,7.147783,Friday,Afternoon,HolidaySeason,"fast, food, street food, recipe",89974.2,Mid,Winter,2025-01-03,2025-01,I tried making Sushi,20,0,20.9,0.615,Desktop,Suggested,1,2007,0.025309,0.003523,35.007,Nigeria,1,January,3,2025
Youtube,SA,Asia,ar,Fashion,#Wanderlust,24 Hours in Dubai,MasterSofia,licensed,Aesthetic synth,1,42,52492,2631,389,249,172,Android,14,Travel,10,Medium,5249.2,82,0.007411,0.004744,0.003277,31.698795,Sunday,Afternoon,SummerBreak,"hidden gems, guide, food tour, vlog",139823.9,Mid,Summer,2025-01-05,2025-01,Street Food Tour — Cairo,24,0,29.6,0.705,iPhone,External,1,3441,0.050122,0.001562,65.553,Saudi Arabia,1,January,5,2025
Youtube,RU,Europe,ru,Science,#Foodie,I tried making Kunafa,FitnessWithSara,licensed,Microscope hum,1,29,19434,659,78,85,86,Android,21,Food,17,Medium,1143.18,17,0.004014,0.004374,0.004425,36.611111,Thursday,Evening,SummerBreak,"kitchen, street food, fast",78488.3,Mid,Summer,2025-01-02,2025-01,5-Minute Kunafa,15,0,14.4,0.497,Huawei,Search,0,908,0.03391,0.000875,46.722,Russian Federation,1,January,2,2025
Youtube,BR,South America,pt,Sports,#Wanderlust,Hidden Gems of London,NoahTV,trending,Drumline,1,35,9527,229,15,30,31,Android,5,Travel,18,Medium,529.28,16,0.001574,0.003149,0.003254,13.470588,Friday,Morning,Regular,"travel, food tour, guide, hidden gems",98910.3,Mid,Spring,2025-01-03,2025-01,Street Food Tour — London,25,0,20.6,0.589,iPhone,Home,1,305,0.024037,0.001679,32.014,Brazil,1,January,3,2025
Youtube,EG,Africa,ar,DIY,#Foodie,Is Koshari worth the hype?,OmarOfficial,original,Toolbox clack,1,17,100387,3241,321,318,490,Android,17,Food,15,Medium,6692.47,212,0.003198,0.003168,0.004881,15.215962,Saturday,Evening,Ramadan,"recipe, kitchen, street food, fast",92542.5,Mid,Spring,2025-01-04,2025-01,5-Minute Kunafa,15,0,11.7,0.688,Samsung,Home,1,4370,0.032285,0.002112,43.532,Egypt,1,January,4,2025
Youtube,IT,Europe,it,Fitness,#Recipe,5-Minute Ramen,UrbanMedia,licensed,Hype trap,1,73,262205,13570,1500,1235,2217,Android,18,Food,21,Medium,12485.95,501,0.005721,0.00471,0.008455,27.031873,Wednesday,Evening,SummerBreak,"fast, kitchen, recipe",108022.1,Mid,Summer,2025-01-01,2025-01,5-Minute Sushi,14,0,44.2,0.605,Xiaomi,Home,0,18522,0.051753,0.001911,70.639,Italy,1,January,1,2025
Youtube,ID,Asia,id,Pets,#FYP,5-Minute Croissant,Noor,licensed,Cute whistle,1,29,152486,6048,896,493,391,Android,19,Food,46,Evergreen,3314.91,425,0.005876,0.003233,0.002564,14.197183,Saturday,Evening,Regular,"food, recipe, kitchen, fast, street food",115352.0,Mid,Spring,2025-01-04,2025-01,5-Minute Kunafa,15,0,18.0,0.621,Oppo,Home,1,7828,0.039663,0.002787,51.336,Indonesia,1,January,4,2025
Tiktok,CN,Asia,zh,Finance,#StreetFood,Is Koshari worth the hype?,AvaOfficial,trending,Ticker tick,1,14,472946,32759,3997,4192,2155,iOS,15,Food,7,Short,67563.71,970,0.008451,0.008864,0.004557,33.737384,Friday,Afternoon,HolidaySeason,"kitchen, street food, fast, recipe, food",102994.2,Mid,Winter,2025-01-03,2025-01,5-Minute Sushi 📱,16,1,7.6,0.543,Samsung,Search,1,43103,0.069266,0.002051,91.137,China,1,January,3,2025
Tiktok,SA,Asia,ar,Food,#Foodie,5-Minute Sushi,Fatma,original,Sizzle ASMR,1,27,60776,4836,658,452,349,Android,20,Food,25,Evergreen,2431.04,27,0.010827,0.007437,0.005742,172.714286,Friday,Evening,HolidaySeason,"kitchen, fast, street food, food",88998.8,Mid,Winter,2025-01-03,2025-01,5-Minute Koshari 🎵,18,1,22.4,0.83,iPhone,Following,1,6295,0.079571,0.000444,103.577,Saudi Arabia,1,January,3,2025
Tiktok,GB,Europe,en,Education,#Foodie,Is Tacos worth the hype?,NoorYT,trending,Calm piano,1,44,104780,7268,646,703,1313,iOS,19,Food,16,Medium,6548.75,300,0.006165,0.006709,0.012531,24.146179,Friday,Evening,Regular,"kitchen, street food, recipe, fast, food",96398.5,Mid,Winter,2025-01-03,2025-01,5-Minute Koshari,16,0,22.1,0.502,iPhone,ForYou,1,9930,0.069364,0.002863,94.77,United Kingdom,1,January,3,2025
Tiktok,AR,South America,es,Science,#HiddenGems,Street Food Tour in New York,DiegoOfficial,original,Microscope hum,1,11,28448,3295,308,327,421,iOS,11,Travel,17,Medium,1673.41,64,0.010827,0.011495,0.014799,50.692308,Friday,Morning,SummerBreak,"hidden gems, guide, food tour",103117.8,Mid,Summer,2025-01-03,2025-01,24 Hours in New York 🎯,22,1,7.1,0.645,iPhone,ForYou,1,4351,0.115825,0.00225,152.946,Argentina,1,January,3,2025
Tiktok,NG,Africa,en,Travel,#StreetFood,Is Ramen worth the hype?,ProSara,trending,City stroll,1,47,148195,5519,560,378,653,Android,14,Food,7,Short,21170.71,150,0.003779,0.002551,0.004406,36.549669,Friday,Afternoon,Regular,"food, street food, recipe, fast, kitchen",101355.4,Mid,Winter,2025-01-03,2025-01,I tried making Sushi ⚽,22,1,27.7,0.589,Other,Search,1,7110,0.037241,0.001012,47.977,Nigeria,1,January,3,2025
Tiktok,IT,Europe,it,Finance,#Recipe,I tried making Kunafa,AyakaTV,trending,Subtle groove,1,14,223043,13725,1942,1273,891,Android,11,Food,40,Evergreen,5576.08,213,0.008707,0.005707,0.003995,64.135514,Friday,Morning,SummerBreak,"fast, kitchen, food",101777.7,Mid,Summer,2025-01-03,2025-01,5-Minute Kunafa,15,0,7.5,0.536,Samsung,Search,1,17831,0.061535,0.000955,79.944,Italy,1,January,3,2025
Tiktok,IN,Asia,hi,Sports,#Wanderlust,Hidden Gems of London,VividHub,trending,Drumline,1,39,183021,7792,770,501,871,Android,18,Travel,32,Evergreen,5719.41,314,0.004207,0.002737,0.004759,24.736508,Friday,Evening,Regular,"vlog, guide, food tour",107717.7,Mid,Fall,2025-01-03,2025-01,24 Hours in Cairo ⚽,19,1,25.0,0.641,Xiaomi,Following,1,9934,0.042574,0.001716,54.278,India,1,January,3,2025
Tiktok,SA,Asia,ar,Travel,#Travel,24 Hours in Dubai,AvaPro,original,City stroll,1,28,108169,5864,581,429,1113,Android,11,Travel,40,Evergreen,2704.22,260,0.005371,0.003966,0.010289,22.467433,Wednesday,Morning,Regular,"guide, food tour, hidden gems, vlog",105585.7,Mid,Winter,2025-01-01,2025-01,Hidden Gems of Tokyo 🎮,22,1,23.2,0.829,Xiaomi,ForYou,0,7987,0.054211,0.002404,73.838,Saudi Arabia,1,January,1,2025
Youtube,KE,Africa,sw,Lifestyle,#Recipe,5-Minute Sushi,UrbanVision,original,Morning vibe,1,34,82869,3574,475,447,271,Android,13,Food,15,Medium,5524.6,211,0.005732,0.005394,0.00327,16.858491,Thursday,Afternoon,Regular,"kitchen, food, street food",120866.4,Mid,Spring,2025-01-02,2025-01,5-Minute Ramen,14,0,20.8,0.612,Oppo,Search,0,4767,0.043128,0.002546,57.525,Kenya,1,January,2,2025
Youtube,CN,Asia,zh,Beauty,#Travel,Hidden Gems of Paris,MasterLucas,licensed,Ambient glow,1,36,82243,4212,344,424,751,iOS,17,Travel,3,Short,27414.33,372,0.004183,0.005155,0.009131,11.292225,Wednesday,Evening,Regular,"travel, guide, food tour, hidden gems, vlog",92140.4,Mid,Fall,2025-01-01,2025-01,Street Food Tour — Paris,24,0,14.5,0.403,Samsung,Home,0,5731,0.051214,0.004523,69.684,China,1,January,1,2025
Youtube,AR,South America,es,Fitness,#HiddenGems,Hidden Gems of Paris,FitnessWithLeila,licensed,Cardio loop,1,22,49790,1819,134,244,364,iOS,22,Travel,21,Medium,2370.95,270,0.002691,0.004901,0.007311,6.712177,Wednesday,Evening,SummerBreak,"food tour, travel, vlog, hidden gems, guide",138823.0,Mid,Summer,2025-01-01,2025-01,Hidden Gems of New York,23,0,14.2,0.645,iPhone,Home,0,2561,0.036533,0.005423,51.436,Argentina,1,January,1,2025
Youtube,ID,Asia,id,Comedy,#Recipe,5-Minute Koshari,TrueLabs,original,Quirky jingle,1,28,23268,591,69,54,102,Android,16,Food,3,Short,7756.0,70,0.002965,0.002321,0.004384,8.323944,Thursday,Afternoon,Regular,"kitchen, recipe, street food",98396.5,Mid,Winter,2025-01-02,2025-01,I tried making Kunafa,21,0,14.2,0.507,Samsung,Home,0,816,0.0254,0.003008,35.07,Indonesia,1,January,2,2025
Youtube,KE,Africa,sw,Tech,#HiddenGems,Hidden Gems of Paris,TrueMedia,trending,Circuit synth,1,30,39577,2758,197,329,172,Android,22,Travel,3,Short,13192.33,375,0.004978,0.008313,0.004346,7.335106,Sunday,Evening,SummerBreak,"travel, hidden gems, guide, vlog, food tour",97756.8,Mid,Summer,2025-01-05,2025-01,Hidden Gems of London 🔥,23,1,18.3,0.61,Oppo,Suggested,1,3456,0.069687,0.009475,87.323,Kenya,1,January,5,2025
Youtube,AR,South America,es,Finance,#FYP,Hidden Gems of Tokyo,MasterOlivia,trending,Clean corporate bed,1,90,200700,12035,931,897,729,Android,15,Travel,6,Short,33450.0,832,0.004639,0.004469,0.003632,14.447779,Thursday,Afternoon,Regular,"travel, vlog, guide, food tour, hidden gems",112356.1,Mid,Winter,2025-01-02,2025-01,Street Food Tour — Cairo,24,0,48.4,0.538,Samsung,Search,0,14592,0.059965,0.004145,72.706,Argentina,1,January,2,2025
Youtube,PL,Europe,pl,Comedy,#Foodie,5-Minute Sushi,DiegoShorts,licensed,Goofy bass,1,53,32389,1229,141,126,78,Android,19,Food,11,Medium,2944.45,148,0.004353,0.00389,0.002408,8.248322,Friday,Evening,Regular,"street food, food, recipe",90412.1,Mid,Spring,2025-01-03,2025-01,I tried making Tacos,20,0,34.7,0.655,iPhone,Suggested,1,1574,0.037945,0.004569,48.597,Poland,1,January,3,2025
Youtube,AU,Oceania,en,Fashion,#StreetFood,I tried making Sushi,TravelByAli,trending,Runway loop,1,19,136755,5364,499,567,684,iOS,20,Food,18,Medium,7597.5,241,0.003649,0.004146,0.005002,22.165289,Friday,Evening,SummerBreak,"kitchen, recipe, street food, food",105790.0,Mid,Summer,2025-01-03,2025-01,5-Minute Croissant,18,0,8.8,0.463,iPhone,Search,1,7114,0.039223,0.001762,52.02,Australia,1,January,3,2025
Youtube,NG,Africa,en,Tech,#HiddenGems,Street Food Tour in Dubai,TrueVision,original,Circuit synth,1,90,73890,1779,145,208,172,Android,19,Travel,7,Short,10555.71,250,0.001962,0.002815,0.002328,7.087649,Saturday,Evening,BackToSchool,"food tour, travel, guide",106642.8,Mid,Fall,2025-01-04,2025-01,24 Hours in London ⚽,20,1,61.5,0.683,Pixel,External,1,2304,0.024076,0.003383,31.181,Nigeria,1,January,4,2025
Youtube,PL,Europe,pl,Education,#Recipe,Is Ramen worth the hype?,TrueHub,trending,Chalkboard beat,1,50,218397,5693,604,404,1177,iOS,13,Food,7,Short,31199.57,164,0.002766,0.00185,0.005389,34.50303,Thursday,Afternoon,Regular,"recipe, street food, fast, food, kitchen",87560.6,Mid,Spring,2025-01-02,2025-01,I tried making Ramen ⚽,22,1,25.9,0.518,Samsung,Home,0,7878,0.026067,0.000751,36.072,Poland,1,January,2,2025
Tiktok,KE,Africa,sw,Food,#Wanderlust,24 Hours in New York,AyakaYT,trending,Street vibe,1,32,100188,7348,1103,507,1123,Android,15,Travel,19,Medium,5273.05,255,0.011009,0.00506,0.011209,28.703125,Thursday,Afternoon,SummerBreak,"food tour, vlog, guide, hidden gems",89258.4,Mid,Summer,2025-01-02,2025-01,Street Food Tour — Paris,24,0,20.6,0.644,Huawei,ForYou,0,10081,0.073342,0.002545,100.621,Kenya,1,January,2,2025
Tiktok,FR,Europe,fr,Art,#StreetFood,I tried making Sushi,SofiaChannel,original,Indie brush,1,14,25109,1702,152,118,103,Android,22,Food,21,Medium,1195.67,29,0.006054,0.0047,0.004102,56.733333,Wednesday,Evening,Regular,"street food, food, recipe, fast",94550.8,Mid,Spring,2025-01-01,2025-01,I tried making Ramen 🍔,22,1,8.3,0.593,iPhone,ForYou,0,2075,0.067784,0.001155,82.64,France,1,January,1,2025
Tiktok,GB,Europe,en,Science,#HiddenGems,Hidden Gems of Seoul,ProNoor,original,Cosmic pad,1,29,50372,3568,483,271,227,Android,15,Travel,5,Short,10074.4,43,0.009589,0.00538,0.004506,81.090909,Friday,Afternoon,SummerBreak,"food tour, guide, travel, hidden gems, vlog",103308.4,Mid,Summer,2025-01-03,2025-01,24 Hours in Paris,17,0,17.9,0.617,iPhone,ForYou,1,4549,0.070833,0.000854,90.308,United Kingdom,1,January,3,2025
Tiktok,AE,Asia,ar,Pets,#Foodie,I tried making Croissant,BeyondWorks,original,Purr loop,1,30,42323,3267,289,341,205,Android,1,Food,4,Short,10580.75,25,0.006828,0.008057,0.004844,125.653846,Friday,Night,BackToSchool,"recipe, fast, street food, kitchen, food",109086.8,Mid,Fall,2025-01-03,2025-01,I tried making Tacos 💪,22,1,24.3,0.81,iPhone,ForYou,1,4102,0.077192,0.000591,96.921,United Arab Emirates,1,January,3,2025
Tiktok,MX,North America,es,Automotive,#FYP,Is Koshari worth the hype?,SaraChannel,trending,Highway synth,1,38,61492,3869,411,301,590,iOS,9,Food,14,Medium,4392.29,48,0.006684,0.004895,0.009595,78.959184,Friday,Morning,SummerBreak,"kitchen, street food, food",112406.0,Mid,Summer,2025-01-03,2025-01,Street Croissant Taste Test 🎮,29,1,20.5,0.539,Oppo,ForYou,1,5171,0.062919,0.000781,84.092,Mexico,1,January,3,2025
Tiktok,ID,Asia,id,Lifestyle,#FYP,5-Minute Koshari,Maya,original,Chill guitar,1,28,101050,8092,516,786,494,Android,13,Food,4,Short,25262.5,155,0.005106,0.007778,0.004889,51.871795,Friday,Afternoon,Regular,"street food, food, recipe, kitchen",94562.8,Mid,Spring,2025-01-03,2025-01,Street Ramen Taste Test,23,0,15.6,0.557,Samsung,ForYou,1,9888,0.080079,0.001534,97.853,Indonesia,1,January,3,2025
Tiktok,SA,Asia,ar,Beauty,#Recipe,I tried making Croissant,NextMedia,licensed,Ambient glow,1,26,74231,2122,256,232,260,iOS,18,Food,20,Medium,3711.55,83,0.003449,0.003125,0.003503,25.261905,Sunday,Evening,SummerBreak,"recipe, fast, kitchen",106288.7,Mid,Summer,2025-01-05,2025-01,I tried making Kunafa,21,0,17.7,0.681,iPhone,ForYou,1,2870,0.028586,0.001118,38.663,Saudi Arabia,1,January,5,2025
Tiktok,IT,Europe,it,News,#Travel,24 Hours in New York,VividMedia,original,Neutral piano,1,19,54813,5428,418,574,338,iOS,6,Travel,3,Short,18271.0,206,0.007626,0.010472,0.006166,26.222222,Wednesday,Morning,HolidaySeason,"travel, hidden gems, vlog, food tour",91145.8,Mid,Winter,2025-01-01,2025-01,Hidden Gems of Istanbul 🎮,25,1,10.4,0.547,Xiaomi,Following,0,6758,0.099028,0.003758,123.292,Italy,1,January,1,2025
Tiktok,ID,Asia,id,Music,#StreetFood,5-Minute Ramen,MusicByJiwoo,original,LoFi loop,1,38,375609,28997,2165,2477,6868,iOS,9,Food,14,Medium,26829.21,1232,0.005764,0.006595,0.018285,23.517437,Friday,Morning,Regular,"kitchen, food, street food, recipe, fast",102688.1,Mid,Spring,2025-01-03,2025-01,I tried making Koshari 📱,24,1,28.7,0.755,Samsung,ForYou,1,40507,0.0772,0.00328,107.844,Indonesia,1,January,3,2025
Youtube,SE,Europe,sv,Pets,#FYP,5-Minute Tacos,BeyondVision,licensed,Purr loop,1,34,82213,3216,397,418,420,Android,22,Food,21,Medium,3914.9,368,0.004829,0.005084,0.005109,8.715447,Saturday,Evening,Regular,"kitchen, street food, recipe, food",82901.5,Mid,Winter,2025-01-04,2025-01,5-Minute Tacos,14,0,20.7,0.609,iPhone,External,1,4451,0.039118,0.004476,54.14,Sweden,1,January,4,2025
Youtube,ES,Europe,es,Science,#Foodie,I tried making Sushi,AyakaTV,trending,Microscope hum,1,22,22612,541,61,37,85,Android,15,Food,4,Short,5653.0,23,0.002698,0.001636,0.003759,22.541667,Sunday,Afternoon,Regular,"fast, street food, recipe, kitchen",101777.7,Mid,Fall,2025-01-05,2025-01,Street Ramen Taste Test 🔥,25,1,12.3,0.559,Samsung,External,1,724,0.023925,0.001017,32.018,Spain,1,January,5,2025
